idPropinsi,propinsi,idKab,kab,idKec,kec,idKel,kel,tps,p1,p2
1,ACEH,1492,ACEH BARAT,1672,ARONGAN LAMBALEK,1674,ALUE BAGOK,1,20,128
1,ACEH,1492,ACEH BARAT,1672,ARONGAN LAMBALEK,1674,ALUE BAGOK,2,23,83
